dataset,pipeline,fpr,tpr
sprot_5k,cablastp,0.000000,0.000000
sprot_5k,cablastp,0.000000,0.005102
sprot_5k,cablastp,0.000000,0.010204
sprot_5k,cablastp,0.000000,0.015306
sprot_5k,cablastp,0.000000,0.020408
sprot_5k,cablastp,0.000000,0.025510
sprot_5k,cablastp,0.000000,0.030612
sprot_5k,cablastp,0.000000,0.035714
sprot_5k,cablastp,0.000000,0.040816
sprot_5k,cablastp,0.000000,0.045918
sprot_5k,cablastp,0.000000,0.051020
sprot_5k,cablastp,0.000000,0.056122
sprot_5k,cablastp,0.000000,0.061224
sprot_5k,cablastp,0.000000,0.066327
sprot_5k,cablastp,0.000000,0.071429
sprot_5k,cablastp,0.000000,0.076531
sprot_5k,cablastp,0.000000,0.081633
sprot_5k,cablastp,0.000000,0.086735
sprot_5k,cablastp,0.000000,0.091837
sprot_5k,cablastp,0.000000,0.096939
sprot_5k,cablastp,0.000000,0.102041
sprot_5k,cablastp,0.000000,0.107143
sprot_5k,cablastp,0.000000,0.112245
sprot_5k,cablastp,0.000000,0.117347
sprot_5k,cablastp,0.000000,0.122449
sprot_5k,cablastp,0.000000,0.127551
sprot_5k,cablastp,0.000000,0.132653
sprot_5k,cablastp,0.000000,0.137755
sprot_5k,cablastp,0.000000,0.147959
sprot_5k,cablastp,0.000000,0.153061
sprot_5k,cablastp,0.000000,0.163265
sprot_5k,cablastp,0.000000,0.168367
sprot_5k,cablastp,0.000000,0.173469
sprot_5k,cablastp,0.000000,0.178571
sprot_5k,cablastp,0.000000,0.183673
sprot_5k,cablastp,0.000000,0.188776
sprot_5k,cablastp,0.000000,0.193878
sprot_5k,cablastp,0.000000,0.198980
sprot_5k,cablastp,0.000000,0.204082
sprot_5k,cablastp,0.000000,0.209184
sprot_5k,cablastp,0.000000,0.214286
sprot_5k,cablastp,0.000000,0.219388
sprot_5k,cablastp,0.000000,0.224490
sprot_5k,cablastp,0.000000,0.229592
sprot_5k,cablastp,0.000000,0.234694
sprot_5k,cablastp,0.000000,0.239796
sprot_5k,cablastp,0.000000,0.244898
sprot_5k,cablastp,0.000000,0.255102
sprot_5k,cablastp,0.000000,0.260204
sprot_5k,cablastp,0.000000,0.265306
sprot_5k,cablastp,0.000000,0.270408
sprot_5k,cablastp,0.000000,0.275510
sprot_5k,cablastp,0.000000,0.280612
sprot_5k,cablastp,0.000000,0.290816
sprot_5k,cablastp,0.000000,0.295918
sprot_5k,cablastp,0.000000,0.301020
sprot_5k,cablastp,0.000000,0.306122
